"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J1";"ER-OLED0.42-1W_Folded";1;"OLED";;;
2;"U2";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
3;"SW4,SW3,SW2,SW1";"SW_Cherry_MX_1.00u_PCB";4;"SW_Push";;;
4;"D1";"LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm";1;"SK6812MINI";;;
